algorithm;timed out;problem instance;filename;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;sampleProblem;.fromRepo.xcsp;63;27;21;5356;490;2;0;0
DPOP;0;scen02;.fromRepo.xcsp;-1;0;0;0;0;0;0;null
DPOP;0;sampleProblem;.fromRepo.xcsp;0;46;21;5276;477;2;0;0
DPOP;1;scen02;.fromRepo.xcsp;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;sampleProblem;.fromRepo.xcsp;0;39;21;5272;475;2;0;0
DPOP;1;sampleProblem;.fromRepo.xcsp;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
ADOPT;0;sampleProblem;.fromRepo.xcsp;60;79;68;7481;604;0;null;0
ADOPT;1;scen01;.fromRepo.xcsp;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
ADOPT;0;sampleProblem;.fromRepo.xcsp;0;102;61;7191;604;0;null;0
ADOPT;1;scen01;.fromRepo.xcsp;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
ADOPT;0;sampleProblem;.fromRepo.xcsp;0;78;68;7489;604;0;null;0
ADOPT;1;scen01;.fromRepo.xcsp;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
ADOPT;0;sampleProblem;.fromRepo.xcsp;0;118;61;7191;604;0;null;0
ADOPT;0;scen01;.fromRepo.xcsp;0;77;4586;228039;932;0;null;infinity
ADOPT;0;sampleProblem;.fromRepo.xcsp;0;127;70;7554;604;0;null;0
ADOPT;0;scen01;.fromRepo.xcsp;0;45;4586;228029;932;0;null;infinity
ADOPT;0;sampleProblem;.fromRepo.xcsp;0;110;61;7191;604;0;null;0
ADOPT;0;scen01;.fromRepo.xcsp;0;76;4774;233588;932;0;null;infinity
ADOPT;0;sampleProblem;.fromRepo.xcsp;0;80;61;7191;604;0;null;0
ADOPT;1;scen02;.fromRepo.xcsp;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
